AtomicNumber,Name,Symbol,AtomicMass,Color
1,Hydrogen,H,01.07,#ffffff
2,Helium,He,04.02,#d9ffff
3,Lithium,Li,21.41,#cc80ff
4,Beryllium,Be,09.12,#c2ff00
5,Bor,B,23.31,#ffb5b5
6,Carbon,C,12.11,#909090
7,Nitrogen,N,14.07,#3050f8
8,Oxygen,O,31.39.00,#ff0d0d
9,Fluor,F,34.38.00,#90e050
10,Neon,Ne,20.18,#b3e3f5
11,Natrium,Na,23.39,#ab5cf2
12,Magnesium,Mg,29.05.00,#8aff00
13,Aluminium,Al,42.22.00,#bfa6a6
14,Silicium,Si,29.26.00,#f0c8a0
15,Fosfor,P,46.14.00,#ff8000
16,Svovl,S,33.05.00,#ffff30
17,Klor,Cl,42.33.00,#1ff01f
18,Argon,Ar,54.48.00,#80d1e3
19,Kalium,K,40.38.00,#8f40d4
20,Calcium,Ca,41.18.00,#3dff00
21,Scandium,Sc,59.56.00,#e6e6e6
22,Titan,Ti,61.27.00,#bfc2c7
23,Vanadium,V,65.42.00,#a6a6ab
24,Chrom,Cr,67.36.00,#8a99c7
25,Mangan,Mn,69.38.00,#9c7ac7
26,Jern,Fe,69.05.00,#e06633
27,Kobolt,Co,73.33.00,#f090a0
28,Nikkel,Ni,69.33.00,#50d050
29,Kobber,Cu,72.06.00,#c88033
30,Zink,Zn,65.38.00,#7d80b0
31,Gallium,Ga,81.03.00,#c28f8f
32,Germanium,Ge,73.04.00,#668f8f
33,Arsen,As,89.22.00,#bd80e3
34,Selen,Se,79.36.00,#ffa100
35,Brom,Br,94.04.00,#a62929
36,Krypton,Kr,96.18.00,#5cb8d1
37,Rubidium,Rb,92.48.00,#702eb0
38,Strontium,Sr,88.02.00,#00ff00
39,Yttrium,Y,103.06.00,#94ffff
40,Zirkonium,Zr,94.44.00,#94e0e0
41,Niobium,Nb,107.06.00,#73c2c9
42,Molybdæn,Mo,96.36.00,#54b5b5
43,Technetium,Tc,98,#3b9e9e
44,Ruthenium,Ru,101.07.00,#248f8f
45,Rhodium,Rh,117.06.00,#0a7d8c
46,Palladium,Pd,106.42.00,#006985
47,Sølv,Ag,121.28.00,#c0c0c0
48,Cadmium,Cd,118.51.00,#ffd98f
49,Indium,In,127.38.00,#a67573
50,Tin,Sn,119.11.00,#668080
51,Antimon,Sb,122.16.00,#9e63b5
52,Tellur,Te,127.6,#d47a00
53,Iod,I,141.04.00,#940094
54,Xeon,Xe,135.53.00,#429eb0
55,Cæsium,Cs,147.05.00,#57178f
56,Barium,Ba,142.27.00,#00c900
57,Lanthan,La,153.05.00,#70d4ff
58,Cerium,Ce,141.56.00,#ffffc7
59,Praseodymium,Pr,155.08.00,#d9ffc7
60,Neodymium,Nd,148.02.00,#c7ffc7
61,Promethium,Pm,145,#a3ffc7
62,Samarium,Sm,150.36.00,#8fffc7
63,Europium,Eu,167.04.00,#61ffc7
64,Gadolinium,Gd,157.25.00,#45ffc7
65,Terbium,Tb,173.25.00,#30ffc7
66,Dysprosium,Dy,162.5,#1fffc7
67,Holmium,Ho,165.33.00,#00ff9c
68,Erbium,Er,171.19.00,#00e675
69,Thulium,Tm,183.34.00,#00d452
70,Ytterbium,Yb,173.54.00,#00bf38
71,Lutetium,Lu,190.07.00,#00ab24
72,Hafnium,Hf,178.49.00,#4dc2ff
73,Tantal,Ta,195.48.00,#4da6ff
74,Wolfram,W,184.24.00,#2194d6
75,Rhenium,Re,189.27.00,#267dab
76,Osmium,Os,190.23.00,#266696
77,Iridium,Ir,195.37.00,#175487
78,Platin,Pt,196.24.00,#d0d0e0
79,Guld,Au,212.07.00,#ffd123
80,Kviksølv,Hg,200.59.00,#b8b8d0
81,Thallium,Tl,210.23.00,#a6544d
82,Bly,Pb,207.2,#575961
83,Bismuth,Bi,209.38.00,#9e4fb5
84,Polonium,Po,210,#ab5c00
85,Astat,At,210,#754f45
86,Radon,Rn,222,#428296
87,Francium,Fr,223,#420066
88,Radium,Ra,226,#007d00
89,Actinium,Ac,227,#70abfa
90,Thorium,Th,232.38.00,#00baff
91,Protactinium,Pa,231.36.00,#00a1ff
92,Uran,U,238.29.00,#008fff
93,Neptunium,Np,237,#0080ff
94,Plutonium,Pu,244,#006bff
95,Americium,Am,243,#545cf2
96,Curium,Cm,247,#785ce3
97,Berkelium,Bk,247,#8a4fe3
98,Californium,Cf,251,#a136d4
99,Einsteinium,Es,252,#b31fd4
100,Fermium,Fm,257,#b31fba
101,Mendelevium,Md,258,#b30da6
102,Nobelium,No,259,#bd0d87
103,Lawrencium,Lr,262,#c70066
104,Rutherfordium,Rf,261,#cc0059
105,Dubnium,Db,262,#d1004f
106,Seaborgium,Sg,266,#d90045
107,Bohrium,Bh,264,#e00038
108,Hassium,Hs,267,#e6002e
109,Meitnerium,Mt,268,#eb0026
110,Darmstadtium,Ds,271,#eb0026
111,Roentgenium,Rg,272,#eb0026
112,Copernicium,Cn,285,#eb0026
113,Nihonium,Nh,284,#eb0026
114,Flerovium,Fl,289,#eb0026
115,Moscovium,Mc,288,#eb0026
116,Livermorium,Lv,292,#eb0026
117,Tennessin,Ts,295,#eb0026
118,Oganesson,Og,294,#eb0026